What is the primary pace of play for the Tallassee offense?,It is primarily a no-huddle offense aiming for a good tempo.
How do Tallassee players reference play calls from sideline coaches?,They reference sideline wristbands.
The Tallassee QB signals for receiver motion by performing which two actions?,Looking at and pointing to the receiver.
What is the immediate key for the defense to identify impending receiver motion by Tallassee?,The receiver turning his head inward toward the QB.
"How many times does the Tallassee QB typically use a long, hard count?",3 to 4 times.
What is the primary mandate for the defense when facing Tallassee QB #7?,Force him to his left to limit effectiveness and vision.
Under what specific movement condition is Tallassee QB #7 significantly more effective throwing?,When forced to sprint out to his right.
What is QB #7's natural inclination when offensive plays break down?,To trust his legs and scramble/run.
Which Tallassee player serves as the backup QB and throws on trick plays?,Running back #11.
What is the primary vulnerability of Tallassee RB #11?,He is poor in pass protection.
"What is the physical profile of Tallassee RB #4, known as 'The Downhill Bruiser'?","Short and stocky build at approximately 5'8"" and 220 lbs."
What is the defensive mandate for tackling Tallassee RB #4?,Wrap up and focus on cutting his legs.
What is the role of Tallassee RB #13 in the offensive rotation?,He serves as a change-of-pace back when #11 moves to H-back.
Which Tallassee receiver is described as the most talented and explosive on the roster?,Wide receiver #5.
What is the main trait of Tallassee WR #1?,He is the primary possession receiver.
How does Tallassee WR #8 demonstrate high awareness during plays?,By breaking off his route to get open when the QB scrambles.
What are the typical route patterns run by Tallassee TE #3?,Drag routes and deep patterns.
What is the average distance of the 'splits' between Tallassee offensive linemen?,2 to 3 feet.
What coaching instruction for Tallassee's OL stance could lead to early fatigue?,Getting their hands down in a 3-point stance early before the long hard count.
Which specific positions on Tallassee's offensive line are considered a significant liability?,The offensive tackles (#73 and #60).
"What is the offensive personnel base for Tallassee, rarely changing even on the goal line?",11-personnel.
What attack plan is recommended to exploit Tallassee's weak offensive tackles?,The off-tackle run game and perimeter edge rushers.
"What is the offensive strategy for handling Tallassee's best edge player, #0?",Trap him with tempo and run counter to make him 'surf' instead of charge.
What is the signature move of Tallassee interior lineman #51 (Diego)?,A spin move back over the top of down blocks.
How should offensive linemen counter DL #51's signature spin move?,"Stay square, anticipate the spin, clamp, and redirect past the hole."
Which play types are specifically mentioned to capture DL #51's inside shoulder?,Trap and crunch concepts.
What is the 'Exploit Target' listed in the linebacker overview for Tallassee?,Sam (Nickel) #23.
Why is Tallassee Sam #23 considered a liability on defense?,He is a very poor tackler who avoids physical fits.
What is the recommended attack plan for Tallassee's Sam linebacker position?,"Force him to tackle in space using perimeter runs, bubbles, and crack-replace rules."
Which Tallassee defensive back was beat deep multiple times versus Bullock County?,Corner #8.
What is the tackling style of Tallassee Safety #7 (the QB)?,He triggers downhill aggressively and tackles low at the knees.
How should the offense exploit Tallassee Safety #7's aggressive downhill trigger?,"Use high-low route stress, posts over digs, and pump screens."
Tallassee Corner #5 typically plays on which part of the field?,To their sideline.
What base defensive shell does Tallassee use versus standard 10 personnel?,Split-safety Cover 4.
What is the purpose of utilizing tempo against Tallassee's defense?,To fatigue their bigger players who have struggled with tempo.
What does the 'Pink' sign signal to the offensive sideline?,A quads diamond formation with Jarrett isolated on the other side.
"In the Academy's offensive signals, what does a 'Purple' sign indicate?",Line up in a specific formation and then shift to another.
What is the difference between a 'Copy' call and a 'Copy Flip' call?,'Copy' is the same play and formation; 'Copy Flip' flips both the formation and the play.
What is the 'Mandate' for Academy defenders when WR #5 is in the game?,Cannot allow him space on any route because of his home run threat.
What is the Academy's anticipated base coverage shell (A Shell)?,Mix and Read.
The Academy uses 'B Shell' as an alternate base; what are the specific coverage types?,Mid and Mod.
Which Academy defensive shell is used for 'Pass Heavy Down' or 'Q Run Concerns'?,M Shell (Cut).
Which Academy defensive shell is unlikely to be ran much?,W Shell (Quit or Mix).
"If 'F' is on the right for the Tallassee offense, what is the tendency?",100\% run.
"If 'F' is on the left for the Tallassee offense, what is the tendency?","Heavy pass, indicated by the QB's right foot back."
What is 'idiot motion' in the Tallassee scouting report?,Receivers motioning and then returning back to their original location.
What is the usage of 'Personnel Slant' in the Academy's defensive rotation?,To rest players after a tempo drive and cause havoc.
What is the specific instruction for Academy defensive backs when QB #7 scrambles?,Stay attached to receivers because Tallassee's best play is the breakdown scramble.
Why must the Academy defense keep eyes on the football during Tallassee's cadence?,"To avoid being drawn offsides by the long, hard count."
Which Tallassee defensive player is described as a 'scrappy player' and 'good tackler in space'?,Corner #9.
Which Tallassee defensive player is described as a 'space-eater' who is limited laterally?,Interior DL #70 (Big Mike).
How should the Academy offense 'sap the gas' of Tallassee DL #70?,"With wide zone, stretch plays, and perimeter screens."
What is the attack plan for Tallassee defensive player #60?,Move him with double teams and exploit him with hard counts.
Which Tallassee interior defender 'shoots gaps' and has a 'disruptive first-step'?,DT #28.
What is the athletic profile of Tallassee Corner #5?,"6'0"", 175 lbs, described as twitchy and a better athlete than #8."
What is the defensive alignment adjustment if Tallassee uses a 'Nasty Bunch' formation?,Check 'Crack In/Out' (A Shell) or 'Hard Quit Rob' (B Shell).
What is the Academy defensive call up front if Tallassee shows a 'True Empty' formation?,"Nickel, Field Wag."
What is the divider rule for Academy corners 'Into the Boundary'?,Bottom of the numbers.
What is the divider rule for Academy corners 'To the Field'?,Halfway between the numbers and the hash.
"In the Academy's defensive planning, what is the 'A Shell' default coverage?",Mix and Read.
What is the defensive adjustment if Tallassee shows 'Quads'?,Cut Quit Rob.
"In Academy personnel '10', which player is off the field and who is on?",Off: Star (Third LB); On: Sam (Third Safety).
"In Academy personnel '11', which player is off the field and who is on?",Off: Sam; On: Star.
